Packet No,Receive Time,MSS
1,1743084551.2030194,65535
2,1743084551.2302334,65535
3,1743084551.248687,65535
4,1743084551.2732697,65535
5,1743084551.2856581,65535
6,1743084551.3131924,65535
7,1743084551.3312516,65535
8,1743084551.3492746,65535
9,1743084551.3639705,65535
10,1743084551.3871832,65535
11,1743084551.413062,65535
12,1743084551.4332368,65535
13,1743084551.452158,65535
14,1743084551.470842,65535
15,1743084551.4876835,65535
16,1743084551.5129657,65535
17,1743084551.5326364,65535
18,1743084551.554808,65535
19,1743084551.5818284,65535
20,1743084551.6044755,65535
21,1743084551.629662,65535
22,1743084551.6479824,65535
23,1743084551.666573,65535
24,1743084551.6914046,65535
25,1743084551.7140586,65535
26,1743084551.7322128,65535
27,1743084551.7515295,65535
28,1743084551.7683644,65535
29,1743084551.78624,65535
30,1743084551.8073637,65535
31,1743084551.8278723,65535
32,1743084551.8492494,65535
33,1743084551.874252,65535
34,1743084551.8867037,65535
35,1743084551.903632,65535
36,1743084551.9208832,65535
37,1743084551.9354146,65535
38,1743084551.9549868,65535
39,1743084551.9810526,65535
40,1743084551.997506,65535
41,1743084552.0432482,65535
42,1743084552.0703263,65535
43,1743084552.1022997,65535
44,1743084552.1315565,65535
45,1743084552.1524065,65535
46,1743084552.1722648,65535
47,1743084552.2021735,65535
48,1743084552.2185385,65535
49,1743084552.2437716,65535
50,1743084552.2641032,65535
51,1743084552.281048,65535
52,1743084552.298087,65535
53,1743084552.3204634,65535
54,1743084552.3426783,65535
55,1743084552.3630972,65535
56,1743084552.381069,65535
57,1743084552.3986824,65535
58,1743084552.4147704,65535
59,1743084552.4333396,65535
60,1743084552.450377,65535
61,1743084552.4696422,65535
62,1743084552.499124,65535
63,1743084552.5158176,65535
64,1743084552.5337903,65535
65,1743084552.5496736,65535
66,1743084552.5655785,65535
67,1743084552.580735,65535
68,1743084552.5969882,65535
69,1743084552.6216993,65535
70,1743084552.6445246,65535
71,1743084552.6637347,65535
72,1743084552.7012253,65535
73,1743084552.7251287,65535
74,1743084552.750845,65535
75,1743084552.767306,65535
76,1743084552.7820573,65535
77,1743084552.8054578,65535
78,1743084552.830038,65535
79,1743084552.8472393,65535
80,1743084552.8645422,65535
81,1743084552.8810167,65535
82,1743084552.898063,65535
83,1743084552.913833,65535
84,1743084552.9313817,65535
85,1743084552.947099,65535
86,1743084552.9658868,65535
87,1743084552.9857306,65535
88,1743084553.0026684,65535
89,1743084553.0310662,65535
90,1743084553.0481114,65535
91,1743084553.065117,65535
92,1743084553.1026478,65535
93,1743084553.1363175,65535
94,1743084553.160787,65535
95,1743084553.181997,65535
96,1743084553.1984632,65535
97,1743084553.217419,65535
98,1743084553.2341468,65535
99,1743084553.2630212,65535
100,1743084553.2832613,65535
101,1743084553.3010814,65535
102,1743084553.3280568,65535
103,1743084553.3484197,65535
104,1743084553.3704941,65535
105,1743084553.3960295,65535
106,1743084553.4156358,65535
107,1743084553.43453,65535
108,1743084553.454394,65535
109,1743084553.4712322,65535
110,1743084553.4950237,65535
111,1743084553.5155277,65535
112,1743084553.5315971,65535
113,1743084553.5480146,65535
114,1743084553.5759141,65535
115,1743084553.608873,65535
116,1743084553.620348,65535
117,1743084553.638182,65535
118,1743084553.665895,65535
119,1743084553.6960456,65535
120,1743084553.7173793,65535
121,1743084553.7329035,65535
122,1743084553.7547631,65535
123,1743084553.7813852,65535
124,1743084553.7984834,65535
125,1743084553.8150947,65535
126,1743084553.831765,65535
127,1743084553.8525102,65535
128,1743084553.8717704,65535
129,1743084553.8968503,65535
130,1743084553.9138045,65535
131,1743084553.9306622,65535
132,1743084553.9483936,65535
133,1743084553.9647067,65535
134,1743084553.9804037,65535
135,1743084553.997809,65535
136,1743084554.0165625,65535
137,1743084554.0335383,65535
138,1743084554.0556629,65535
139,1743084554.0736995,65535
140,1743084554.0922904,65535
141,1743084554.1138458,65535
142,1743084554.1314292,65535
143,1743084554.148933,65535
144,1743084554.165099,65535
145,1743084554.1826537,65535
146,1743084554.202354,65535
147,1743084554.2312105,65535
148,1743084554.246825,65535
149,1743084554.2654994,65535
150,1743084554.2856262,65535
151,1743084554.3044896,65535
152,1743084554.3259885,65535
153,1743084554.3464377,65535
154,1743084554.3639665,65535
155,1743084554.3825629,65535
156,1743084554.3966608,65535
157,1743084554.4144423,65535
158,1743084554.4305224,65535
159,1743084554.447694,65535
160,1743084554.4645078,65535
161,1743084554.4817073,65535
162,1743084554.4976637,65535
163,1743084554.5152793,65535
164,1743084554.5317817,65535
165,1743084554.5478437,65535
166,1743084554.5645041,65535
167,1743084554.5826032,65535
168,1743084554.603606,65535
169,1743084554.6216755,65535
170,1743084554.6384065,65535
171,1743084554.6642432,65535
172,1743084554.680339,65535
173,1743084554.699003,65535
174,1743084554.715558,65535
175,1743084554.731315,65535
176,1743084554.7483757,65535
177,1743084554.7657926,65535
178,1743084554.7846155,65535
179,1743084554.8057423,65535
180,1743084554.821455,65535
181,1743084554.8475397,65535
182,1743084554.8647525,65535
183,1743084554.8853676,65535
184,1743084554.901904,65535
185,1743084554.9178562,65535
186,1743084554.9417286,65535
187,1743084554.9559262,65535
188,1743084554.9805934,65535
189,1743084554.9994752,65535
190,1743084555.014826,65535
191,1743084555.0353298,65535
192,1743084555.0525248,65535
193,1743084555.0732548,65535
194,1743084555.0970607,65535
